序号,厂家名称,地区,地址,电话,邮箱,网址,主要产品,CE认证,备注
1,SINREEN新锐电器,广东中山,广东省中山市黄埔镇马鑫工业区盛宏路10号,+86 15804088099,sales@sinreen.com,https://sinreen.com/,空气炸锅、榨汁机、电饭煲、电热水壶,✅ CE/UL/ETL/CB/SAA/GS/3C/RoHS,10年+经验，500+员工
2,Longbank龙邦电器,广东,,,-,https://longbank.com/,空气炸锅、咖啡机、榨汁机、压力锅,✅ RoHS/EMC/LFGB/LVD,OEM/ODM，50+台注塑机
3,广东鸿智智能科技,广东,,,-,-,电热水壶、咖啡壶、搅拌器、多士炉、面包机、电烤箱、果汁机,✅,2013-2015四大产品最大出口商
4,山井电器有限公司,广东顺德,佛山市顺德区容桂镇,0757-13826678881,-,-,豆浆机、电磁炉、电热水壶、电饭煲,⚠️ 需确认,
5,广东顺德欧顿电器,广东顺德,佛山市顺德区容桂镇海尾工业区,18928544666,-,-,电磁炉,⚠️ 需确认,传真:18928544666
6,佛山市顺德区苑铃电器,广东顺德,,,-,https://m.gys.cn/shunde/hps1234.html,豆浆机、电磁炉、电压力锅、电热水壶,⚠️ 需确认,负责人:罗
7,佛山市亨田电器,广东顺德,,,-,https://m.gys.cn/shunde/hst18823283022.html,榨汁机、豆浆机、料理机、电压力锅,⚠️ 需确认,负责人:黄女士
8,佛山市顺德区觉佩电器,广东顺德,,,-,-,电饭煲、果汁机、豆浆机,⚠️ 需确认,
9,中山市金正生活电器,中山市,,,-,http://www.tenpp.com/menhu/special/dianqi/jinzheng.html,养生壶、豆浆机,⚠️ 需确认,广东金正电器集团
10,中山市卡索电器,中山市,,,-,http://www.zscaso.com/products_68.html,破壁机、绞肉机、榨汁机,⚠️ 需确认,合作品牌:DAEWOO/GIFI/HIMART
11,中山市掌声电器,中山市黄圃,,,-,-,电热壶、电热杯,⚠️ 需确认,
12,中山市普龙宝电器,中山市黄圃,,,-,-,电热壶、电热杯,⚠️ 需确认,
13,中山市凤源电器,中山市黄圃,,,-,-,电热壶、电热杯,⚠️ 需确认,
14,中山市助家电器科技,中山市黄圃,,,-,-,电热壶、电热杯,⚠️ 需确认,
15,中山市华强电器,中山市,,,-,-,电饭锅、电水壶,⚠️ 需确认,
16,广州伟美誉电器制造,广州市,,,-,-,电热水壶、豆浆机、榨汁机,⚠️ 需确认,
17,浙江比依电器,宁波慈溪,浙江省宁波市,0574-62608313,Biyi@biyigroup.com,http://www.nb-biyi.com,电热水壶、电热咖啡机、面包机、打蛋机、多士炉,⚠️ 需确认,传真:0574-62608313
18,宁波博菱电器,宁波慈溪,浙江省宁波市北仑区新碶大港六路77号,-,-,-,豆浆机、榨汁机、多士炉、面包机、电烤箱,⚠️ 需确认,专注厨房小家电
19,宁波宁达电器,宁波慈溪,慈溪市,-,-,-,电风扇等小家电,⚠️ 需确认,年销售额超150万美金
